id,type,sex,age,party,representation,position,state
platzeck,0,0,4,1,0,0,4
pofalla,0,0,4,0,0,0,10
praetorius,0,1,3,99,5,0,3
tillich,0,0,4,0,0,0,13
hasselfeldt,0,1,3,0,0,1,2
kampeter,0,0,3,0,1,1,10
kapferer,0,0,3,3,1,1,9
kempf,0,0,4,99,1,1,2
nemat,0,1,3,99,1,1,10
reiche,0,1,2,0,1,1,4
roestel,0,1,3,2,1,1,13
schweitzer,0,0,3,3,1,1,3
grothus,0,0,3,99,4,1,10
wodtke,0,0,99,0,4,1,4
herntier,0,0,4,99,4,1,4
kreuzberg,0,1,4,0,4,1,10
priggen,0,1,4,3,4,1,10
vassiliadis,0,1,3,1,2,1,10
scheidt,0,1,3,1,2,1,10
körzell,0,1,3,1,2,1,7
kaiser,0,1,3,99,3,1,99
weiger,0,1,5,99,3,1,2
niebert,0,1,1,99,3,1,99
allmendinger,0,0,4,99,5,1,3
matthes,0,1,3,99,5,1,3
schellnhuber,0,1,5,99,5,1,4
niebuhr,0,0,3,99,5,1,15
wehrspohn,0,1,3,99,5,1,14
lämmel,0,1,3,0,0,2,13
lenz,0,1,1,0,0,2,2
miersch,0,1,2,1,0,2,9
SPD,1,99,99,99,99,99,99
B90,1,99,99,99,99,99,99
Union,1,99,99,99,99,99,99
FDP,1,99,99,99,99,99,99
Deutsche Bahn,1,99,99,99,99,99,99
Hochschule für Technik und Wirtschaft,1,99,99,99,99,99,99
Agora Energiewende,1,99,99,99,99,99,99
Deutsches Rotes Kreuz,1,99,99,99,99,99,99
BDA,1,99,99,99,99,99,99
BDEW,1,99,99,99,99,99,99
BDI,1,99,99,99,99,99,99
Telekom,1,99,99,99,99,99,99
McKinsey,1,99,99,99,99,99,99
VKU,1,99,99,99,99,99,99
Stadtentwaesserung Dresden,1,99,99,99,99,99,99
EnBW,1,99,99,99,99,99,99
DIHT,1,99,99,99,99,99,99
Alba,1,99,99,99,99,99,99
Buirer fuer Buir,1,99,99,99,99,99,99
Gruene Zukunft Welzow,1,99,99,99,99,99,99
Netzwerk Berbaubeschaedigter,1,99,99,99,99,99,99
Spremberger Tuche,1,99,99,99,99,99,99
LEE NRW,1,99,99,99,99,99,99
IG BCE,1,99,99,99,99,99,99
Verdi,1,99,99,99,99,99,99
Eon,1,99,99,99,99,99,99
DGB,1,99,99,99,99,99,99
Greenpeace,1,99,99,99,99,99,99
BUND,1,99,99,99,99,99,99
DNR,1,99,99,99,99,99,99
Universität Zürich,1,99,99,99,99,99,99
WZB,1,99,99,99,99,99,99
Humboldt Universität,1,99,99,99,99,99,99
Öko Institut,1,99,99,99,99,99,99
Potsdam Institut für Klimafolgenforschung,1,99,99,99,99,99,99
Universtität Kiel,1,99,99,99,99,99,99
Frauenhofer Institut ,1,99,99,99,99,99,99
Marthin Luter Universität Halle,1,99,99,99,99,99,99
Kohlekommission,1,99,99,99,99,99,99